! Name of species
H2O
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.500e+01    1.000e+00    1.000e+01    5.000e-17    3.608e-10    1.832e-09    8.734e-09    1.446e-08    1.617e-08
    1.000e+02    1.500e+01    1.000e+00    1.000e+02    5.000e-17    3.608e-10    1.832e-09    8.740e-09    1.450e-08    1.623e-08
    1.000e+02    1.500e+01    3.162e+00    1.000e-03    5.000e-17    7.370e-08    7.366e-08    7.355e-08    3.030e-11    3.902e-11
    1.000e+02    1.500e+01    3.162e+00    1.000e-02    5.000e-17    7.308e-08    7.295e-08    7.284e-08    2.763e-11    2.959e-11
    1.000e+02    1.500e+01    3.162e+00    1.000e-01    5.000e-17    6.689e-08    6.632e-08    6.616e-08    3.268e-11    3.210e-11
    1.000e+02    1.500e+01    3.162e+00    3.162e-01    5.000e-17    5.374e-08    5.328e-08    5.258e-08    5.067e-11    4.911e-11
    1.000e+02    1.500e+01    3.162e+00    1.000e+00    5.000e-17    2.634e-08    2.642e-08    2.632e-08    2.584e-08    2.479e-08
    1.000e+02    1.500e+01    3.162e+00    3.162e+00    5.000e-17    9.375e-10    2.806e-09    6.199e-09    6.666e-09    5.286e-09
    1.000e+02    1.500e+01    3.162e+00    1.000e+01    5.000e-17    3.608e-10    1.832e-09    8.734e-09    1.445e-08    1.614e-08
    1.000e+02    1.500e+01    3.162e+00    1.000e+02    5.000e-17    3.608e-10    1.832e-09    8.740e-09    1.450e-08    1.623e-08
    1.000e+02    1.500e+01    1.000e+01    1.000e-03    5.000e-17    7.446e-08    7.440e-08    8.443e-12    8.541e-12    9.736e-12
    1.000e+02    1.500e+01    1.000e+01    1.000e-02    5.000e-17    7.375e-08    7.371e-08    8.663e-12    8.307e-12    8.219e-12
    1.000e+02    1.500e+01    1.000e+01    1.000e-01    5.000e-17    6.712e-08    6.706e-08    1.048e-11    1.014e-11    9.715e-12
    1.000e+02    1.500e+01    1.000e+01    3.162e-01    5.000e-17    5.367e-08    5.344e-08    1.628e-11    1.578e-11    1.527e-11
    1.000e+02    1.500e+01    1.000e+01    1.000e+00    5.000e-17    2.635e-08    2.635e-08    2.623e-08    2.593e-08    6.885e-11
    1.000e+02    1.500e+01    1.000e+01    3.162e+00    5.000e-17    1.763e-09    3.243e-09    4.236e-09    4.258e-09    3.792e-09
    1.000e+02    1.500e+01    1.000e+01    1.000e+01    5.000e-17    3.608e-10    1.832e-09    8.734e-09    1.444e-08    1.608e-08
    1.000e+02    1.500e+01    1.000e+01    1.000e+02    5.000e-17    3.608e-10    1.832e-09    8.740e-09    1.450e-08    1.623e-08
    1.000e+02    1.500e+01    3.162e+01    1.000e-03    5.000e-17    7.469e-08    2.530e-12    2.288e-12    1.848e-12    1.772e-12
    1.000e+02    1.500e+01    3.162e+01    1.000e-02    5.000e-17    7.400e-08    2.657e-12    2.533e-12    2.209e-12    1.761e-12
    1.000e+02    1.500e+01    3.162e+01    1.000e-01    5.000e-17    6.735e-08    3.241e-12    3.168e-12    2.979e-12    2.667e-12
    1.000e+02    1.500e+01    3.162e+01    3.162e-01    5.000e-17    5.371e-08    5.090e-12    4.994e-12    4.807e-12    4.556e-12
    1.000e+02    1.500e+01    3.162e+01    1.000e+00    5.000e-17    2.632e-08    2.629e-08    2.620e-08    2.359e-11    1.907e-11
    1.000e+02    1.500e+01    3.162e+01    3.162e+00    5.000e-17    2.637e-09    3.014e-09    3.245e-09    3.246e-09    3.077e-09
    1.000e+02    1.500e+01    3.162e+01    1.000e+01    5.000e-17    3.608e-10    1.832e-09    8.734e-09    1.444e-08    1.591e-08
    1.000e+02    1.500e+01    3.162e+01    1.000e+02    5.000e-17    3.608e-10    1.832e-09    8.740e-09    1.450e-08    1.623e-08
    1.000e+02    1.500e+01    1.000e+02    1.000e-03    5.000e-17    7.143e-13    6.364e-13    4.448e-13    2.104e-13    2.184e-13
    1.000e+02    1.500e+01    1.000e+02    1.000e-02    5.000e-17    7.538e-13    7.216e-13    6.280e-13    4.163e-13    2.110e-13
    1.000e+02    1.500e+01    1.000e+02    1.000e-01    5.000e-17    9.361e-13    9.196e-13    8.715e-13    7.545e-13    5.653e-13
    1.000e+02    1.500e+01    1.000e+02    3.162e-01    5.000e-17    1.519e-12    1.497e-12    1.454e-12    1.351e-12    1.210e-12
    1.000e+02    1.500e+01    1.000e+02    1.000e+00    5.000e-17    2.630e-08    2.627e-08    7.671e-12    6.047e-12    5.767e-12
    1.000e+02    1.500e+01    1.000e+02    3.162e+00    5.000e-17    2.763e-09    2.826e-09    2.900e-09    2.901e-09    2.831e-09
