! Name of species
CO
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+02    1.500e+01    1.000e-01    1.000e+00    5.000e-17    7.844e-05    7.803e-05    7.657e-05    7.198e-05    5.781e-05
    1.000e+02    1.500e+01    1.000e-01    3.162e+00    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.234e-05    5.945e-05
    1.000e+02    1.500e+01    1.000e-01    1.000e+01    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.235e-05    6.006e-05
    1.000e+02    1.500e+01    1.000e-01    1.000e+02    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.235e-05    6.006e-05
    1.000e+02    1.500e+01    1.000e+00    1.000e-03    5.000e-17    1.808e-05    8.863e-07    1.576e-07    1.547e-07    7.321e-10
    1.000e+02    1.500e+01    1.000e+00    1.000e-02    5.000e-17    3.254e-05    4.966e-06    2.674e-07    2.502e-07    1.109e-09
    1.000e+02    1.500e+01    1.000e+00    1.000e-01    5.000e-17    6.028e-05    3.392e-05    5.782e-06    6.950e-07    3.613e-09
    1.000e+02    1.500e+01    1.000e+00    3.162e-01    5.000e-17    7.439e-05    6.589e-05    4.473e-05    1.315e-05    4.389e-07
    1.000e+02    1.500e+01    1.000e+00    1.000e+00    5.000e-17    7.835e-05    7.772e-05    7.560e-05    6.892e-05    4.935e-05
    1.000e+02    1.500e+01    1.000e+00    3.162e+00    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.232e-05    5.902e-05
    1.000e+02    1.500e+01    1.000e+00    1.000e+01    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.235e-05    6.006e-05
    1.000e+02    1.500e+01    1.000e+00    1.000e+02    5.000e-17    7.845e-05    7.806e-05    7.668e-05    7.235e-05    6.006e-05
    1.000e+02    1.500e+01    3.162e+00    1.000e-03    5.000e-17    7.991e-07    5.317e-08    5.288e-08    8.958e-11    8.750e-11
    1.000e+02    1.500e+01    3.162e+00    1.000e-02    5.000e-17    4.895e-06    9.897e-08    8.699e-08    1.472e-10    1.450e-10
